County,Density per square mile of land area - Population,Percentage of diabetics
Cherokee County,2.4,12.5
Cheyenne County,32.3,12.1
Clark County,66.4,12.3
Clay County,3.3,10.4
Cloud County,23.3,12.3
Coffey County,20.2,9.3
Comanche County,243.1,12
Cowley County,4.9,11.9
Crawford County,4.5,10.2
Decatur County,31.6,13.1
Dickinson County,9.1,10.7
Doniphan County,28.2,9.7
Douglas County,30.8,6.1
Edwards County,45.5,11.3
Elk County,89.3,13.5
Ellis County,2.5,8.2
Ellsworth County,2.9,10.5
Finney County,13.6,9.1
Ford County,6.9,9.4
Franklin County,1.6,12.3
Geary County,5.9,7.9
Gove County,2.7,13.2
Graham County,7.5,11.4
Grant County,64.3,9.7
Gray County,7.4,9.1
Greeley County,2.2,10.9
Greenwood County,20.5,11
Hamilton County,35.9,9.2
Harper County,3.4,11.3
Harvey County,1149.6,9.7
Haskell County,4.6,8.9
Hodgeman County,9.1,11.1
Jackson County,3.5,11.2
Jefferson County,33.5,9.9
Jewell County,2.4,14.1
Johnson County,164.7,7
Kearny County,4.5,11.1
Kingman County,16.3,12
Kiowa County,2.6,10
Labette County,39.8,12
Lane County,32.5,11.9
Leavenworth County,13.4,9.1
Lincoln County,11.2,10.8
Linn County,4.7,11.1
Logan County,57,13.1
Lyon County,9.1,9.3
McPherson County,55.1,9.2
Marion County,8.5,9.7
Marshall County,4.4,11.8
Meade County,14.2,11.2
Miami County,28.9,9.3
Mitchell County,2.9,10.7
Montgomery County,6.5,13.7
Morris County,23.1,9.7
Morton County,4.3,10.2
Nemaha County,8.5,10.8
Neosho County,9.2,12
Ness County,6.4,11.3
Norton County,25.7,10.3
Osage County,13.1,12.8
Osborne County,2.4,12
Ottawa County,51.4,11.2
Pawnee County,6.9,10.4
Phillips County,13.9,12
Pottawatomie County,116.6,12.5
Pratt County,5.8,9.6
Rawlins County,4.6,12.8
Reno County,7.9,11.4
Republic County,77.2,11.5
Rice County,6.9,11.7
Riley County,499.6,6
Rooks County,35.9,11.3
Rush County,327.1,10.5
Russell County,2.9,13
Saline County,5.7,10.9
Scott County,4.3,9.4
Sedgwick County,5.6,9.9
Seward County,3.3,8.7
Shawnee County,7.9,10.1
Sheridan County,20.4,10.8
Sherman County,7.4,11.1
Smith County,3.4,11.6
Stafford County,8.9,10.5
Stanton County,1.6,10
Stevens County,6.5,10.5
Sumner County,3.1,13.4
Thomas County,16.5,8.8
Trego County,6.6,10.6
Wabaunsee County,1039,10.3
Wallace County,46,11.4
Washington County,58,11
Wichita County,106.1,10.3
Wilson County,33.4,11.4
Woodson County,86.5,11.9
Wyandotte County,41.6,13.2
Adair County,79.9,12.3
Allen County,482.3,11.9
Anderson County,69,12.3
Ballard County,309.9,13.9
Barren County,157.8,13.4
Bath County,41.3,12.4
Bell County,28.2,14.3
