FIPS Codes,County,percent (men)_2010,percent (women)_2010,percent (men)_2013,percent (women)_2013,Geographic area,Density_Population
01123,Tallapoosa County,14.3,13.8,14.6,13,Tallapoosa County,58.1
01125,Tuscaloosa County,10.1,10.8,12.4,12.2,Tuscaloosa County,147.3
01127,Walker County,15.2,14.9,17.6,15.9,Walker County,84.7
01129,Washington County,13.6,13.3,18.2,17.3,Washington County,16.3
01131,Wilcox County,16.3,19.6,19.1,19.4,Wilcox County,13.1
01133,Winston County,12.8,11.5,14.4,12.1,Winston County,39.9
02013,Aleutians East Borough,7.3,8.5,7.4,8,Aleutians East Borough,0.4
02016,Aleutians West,6.4,7.3,6.4,5.8,Aleutians West Census Area,1.3
02020,Anchorage Municipality,6.8,7.2,6.8,7.2,Anchorage Municipality,171.2
02050,Bethel Census Area,6.5,6.9,6.3,5.3,Bethel Census Area,0.4
02060,Bristol Bay Borough,8.1,8.5,9,7.8,Bristol Bay Borough,2
02068,Denali Borough,7.3,6.2,6.2,5.2,Denali Borough,0.1
02070,Dillingham Census Area,8.2,8.1,7.6,6.8,Dillingham Census Area,0.3
02090,Fairbanks North Star,6.1,6.1,5.3,5.7,Fairbanks North Star Borough,13.3
02100,Haines Borough,8.5,8.1,8.3,7.5,Haines Borough,1.1
02105,Hoonah-Angoon 2009 Census,9.8,9.3,8,6.4,Hoonah-Angoon Census Area,0.3
02110,Juneau City and Borough,6.5,6.1,6.1,5.7,Juneau City and Borough,11.6
02122,Kenai Peninsula Borough,6.6,6.7,7.3,7.1,Kenai Peninsula Borough,3.4
02130,Ketchikan Gateway Borough,7.2,7.2,8.9,9,Ketchikan Gateway Borough,2.8
02150,Kodiak Island Borough,6.1,6.2,6.6,6.5,Kodiak Island Borough,2.1
02164,Lake and Peninsula Borough,8.2,8.6,7.9,6.9,Lake and Peninsula Borough,0.1
02170,Matanuska-Susitna Borough,7,6.6,8.3,8.2,Matanuska-Susitna Borough,3.6
02180,Nome Census Area,7.7,8,6.4,5.5,Nome Census Area,0.4
02185,North Slope Borough,7.4,8.1,6.7,6.1,North Slope Borough,0.1
02188,Northwest Arctic Borough,6.9,7.4,6.7,6.3,Northwest Arctic Borough,0.2
02195,Petersburg 2009 Census,7.3,6.7,7.5,6.8,Petersburg Census Area,1.2
02230,Skagway Municipality 2009 Census,6.6,6.4,6.8,6,Skagway Municipality,2.1
